study_pk,sid,name,drug,licence,group_count,individual_count,intervention_count,output_count,output_calculated_count,subset_count,timecourse_count,scatter_count,reference_date,output_ids,subset_ids
564,PKDB00308,Dyk2019,midazolam; rifampicin; clarithromycin,closed,3,0,3,144,27,3,3,0,2019-09-27,"[163983, 163984, 163985, 163986, 163987, 163988, 163989, 163990, 163991, 163992, 163993, 163994, 163995, 163996, 163997, 163998, 163999, 164000, 164001, 164002, 164003, 164004, 164005, 164006, 164007, 164008, 164009, 164010, 164011, 164012, 164013, 164014, 164015, 164016, 164017, 164018, 164019, 164020, 164021, 164022, 164023, 164024, 164025, 164026, 164027, 164028, 164029, 164030, 164031, 164032, 164033, 164034, 164035, 164036, 164037, 164038, 164039, 164040, 164041, 164042, 164043, 164044, 164045, 164046, 164047, 164048, 164049, 164050, 164051, 164052, 164053, 164054, 164055, 164056, 164057, 164058, 164059, 164060, 164061, 164062, 164063, 164064, 164065, 164066, 164067, 164068, 164069, 164070, 164071, 164072, 164100, 164101, 164102, 164103, 164104, 164105, 164106, 164107, 164108, 164136, 164137, 164138, 164139, 164140, 164141, 164142, 164143, 164144, 164118, 164119, 164120, 164121, 164122, 164123, 164124, 164125, 164109, 164110, 164111, 164112, 164113, 164114, 164115, 164116, 164117, 164154, 164155, 164156, 164157, 164158, 164159, 164160, 164161, 164162, 164126, 164172, 164173, 164174, 164175, 164176, 164177, 164178, 164179, 164180]","[3069, 3070, 3071]"
565,PKDB00327,Eap2004,midazolam; 1-hydroxymidazolam; 4-hydroxymidazolam; rifampicin; ketoconazole,closed,4,0,4,273,93,14,14,0,2004-09-30,"[164259, 164260, 164261, 164262, 164263, 164264, 164265, 164266, 164267, 164268, 164269, 164270, 164271, 164272, 164273, 164274, 164275, 164276, 164277, 164278, 164279, 164280, 164281, 164282, 164283, 164284, 164285, 164286, 164287, 164288, 164289, 164290, 164291, 164292, 164293, 164294, 164295, 164296, 164297, 164298, 164299, 164300, 164301, 164302, 164303, 164304, 164305, 164306, 164307, 164308, 164309, 164310, 164311, 164312, 164313, 164314, 164315, 164316, 164317, 164318, 164319, 164320, 164321, 164322, 164323, 164324, 164325, 164326, 164327, 164328, 164329, 164330, 164331, 164332, 164333, 164334, 164335, 164336, 164439, 164440, 164441, 164442, 164448, 164449, 164450, 164451, 164452, 164453, 164454, 164455, 164466, 164467, 164468, 164469, 164470, 164471, 164472, 164473, 164457, 164458, 164459, 164460, 164461, 164462, 164463, 164464, 164527, 164478, 164479, 164480, 164484, 164485, 164493, 164494, 164495, 164496, 164497, 164498, 164499, 164500, 164501, 164508, 164509, 164510, 164511, 164512, 164513, 164514, 164502, 164503, 164504, 164505, 164506, 164507, 164519, 164520, 164521, 164522, 164523, 164524, 164525, 164526, 164515, 164516, 164517, 164518, 164481, 164482, 164483, 164544, 164545, 164546, 164535, 164536, 164537, 164538, 164539, 164540, 164553, 164554, 164555, 164556, 164557, 164558, 164528, 164529, 164530, 164531, 164532, 164533, 164534, 164565, 164566, 164567, 164568, 164569, 164570, 164474, 164475, 164476, 164477, 164577, 164578, 164579, 164580, 164581, 164582, 164443, 164444, 164445, 164446, 164447, 164592, 164593, 164594, 164595, 164596, 164597, 164598, 164599, 164600, 164486, 164487, 164488, 164489, 164490, 164491, 164492, 164610, 164611, 164612, 164613, 164614, 164615, 164616, 164617, 164618, 164456, 164625, 164626, 164627, 164628, 164629, 164630, 164637, 164638, 164639, 164640, 164641, 164642, 164652, 164653, 164654, 164655, 164656, 164657, 164658, 164659, 164660, 164667, 164668, 164669, 164670, 164671, 164672, 164682, 164683, 164684, 164685, 164686, 164687, 164688, 164689, 164690, 164700, 164701, 164702, 164703, 164704, 164705, 164706, 164707, 164708, 164712, 164713, 164714, 164465, 164721, 164722, 164723, 164724, 164725, 164726]","[3072, 3073, 3074, 3075, 3076, 3077, 3078, 3079, 3080, 3081, 3082, 3083, 3084, 3085]"
567,PKDB00322,Eeckhoudt2001,midazolam; rifampicin,closed,1,8,3,27,0,0,0,0,2001-12-04,"[164856, 164857, 164858, 164859, 164860, 164861, 164862, 164863, 164864, 164865, 164866, 164867, 164868, 164869, 164870, 164871, 164872, 164873, 164874, 164875, 164876, 164877, 164878, 164879, 164883, 164884, 164885]",[]
568,PKDB00249,Erp2011,grapefruit juice; midazolam,open,1,8,2,16,0,0,0,0,2011-04-11,"[164902, 164903, 164904, 164905, 164906, 164907, 164908, 164909, 164910, 164911, 164912, 164913, 164914, 164915, 164916, 164917]",[]
569,PKDB00209,Farkas2007,grapefruit juice; pomegranate-juice; midazolam,closed,1,0,6,134,45,5,5,0,2007-09-05,"[165177, 165178, 165179, 165180, 165181, 165182, 165183, 165184, 165185, 164947, 164948, 164949, 164950, 164951, 164952, 164953, 164954, 164955, 164956, 164957, 164958, 164959, 164960, 164961, 164962, 164963, 164964, 164965, 164966, 164967, 164968, 164969, 164970, 164971, 164972, 164973, 164974, 164975, 165048, 165049, 165050, 165051, 165052, 165053, 165054, 165055, 165056, 165057, 165058, 165072, 165073, 165074, 165075, 165076, 165077, 165078, 165079, 165080, 165081, 165082, 165083, 165105, 165106, 165107, 165108, 165109, 165110, 165111, 165112, 165113, 165036, 165037, 165038, 165039, 165040, 165041, 165042, 165043, 165044, 165059, 165060, 165061, 165062, 165063, 165064, 165065, 165066, 165067, 165068, 165069, 165045, 165046, 165047, 165123, 165124, 165125, 165126, 165127, 165128, 165129, 165130, 165131, 165084, 165085, 165086, 165087, 165088, 165089, 165090, 165091, 165092, 165093, 165094, 165095, 165141, 165142, 165143, 165144, 165145, 165146, 165147, 165148, 165149, 165159, 165160, 165161, 165162, 165163, 165164, 165165, 165166, 165167, 165070, 165071]","[3087, 3088, 3089, 3090, 3091]"
570,PKDB00205,Gorski2003,midazolam; 15N3-midazolam; rifampicin,closed,7,0,4,212,36,4,4,0,2003-09-24,"[165601, 165602, 165603, 165604, 165605, 165606, 165607, 165608, 165609, 165246, 165247, 165248, 165249, 165250, 165251, 165252, 165253, 165254, 165255, 165256, 165257, 165258, 165259, 165260, 165261, 165262, 165263, 165264, 165265, 165266, 165267, 165268, 165269, 165270, 165271, 165272, 165273, 165274, 165275, 165276, 165277, 165278, 165279, 165280, 165281, 165282, 165283, 165284, 165285, 165286, 165287, 165288, 165289, 165290, 165291, 165292, 165293, 165294, 165295, 165296, 165297, 165298, 165299, 165300, 165301, 165302, 165303, 165304, 165305, 165366, 165367, 165368, 165369, 165370, 165371, 165372, 165373, 165374, 165375, 165376, 165377, 165378, 165379, 165380, 165381, 165382, 165383, 165384, 165385, 165386, 165387, 165388, 165389, 165390, 165391, 165392, 165393, 165394, 165395, 165396, 165397, 165398, 165399, 165400, 165401, 165402, 165403, 165404, 165405, 165406, 165407, 165408, 165409, 165410, 165411, 165412, 165413, 165414, 165415, 165416, 165417, 165418, 165419, 165420, 165421, 165422, 165423, 165424, 165425, 165482, 165483, 165484, 165485, 165486, 165487, 165488, 165489, 165490, 165491, 165492, 165495, 165496, 165497, 165498, 165499, 165500, 165501, 165502, 165503, 165504, 165505, 165506, 165507, 165508, 165523, 165524, 165525, 165526, 165527, 165528, 165529, 165530, 165531, 165532, 165533, 165534, 165535, 165547, 165548, 165549, 165550, 165551, 165552, 165553, 165554, 165555, 165493, 165494, 165565, 165566, 165567, 165568, 165569, 165570, 165571, 165572, 165573, 165509, 165510, 165511, 165512, 165513, 165514, 165515, 165516, 165517, 165518, 165519, 165520, 165521, 165522, 165583, 165584, 165585, 165586, 165587, 165588, 165589, 165590, 165591, 165536, 165537]","[3092, 3093, 3094, 3095]"
571,PKDB00179,Greenblatt1986,cimetidine; ranitidine; midazolam,closed,3,86,4,233,53,6,6,0,1986-02-18,"[165658, 165659, 165660, 165661, 165662, 165663, 165664, 165665, 165666, 165667, 165668, 165669, 165670, 165671, 165672, 165673, 165674, 165675, 165676, 165677, 165678, 165679, 165680, 165681, 165682, 165683, 165684, 165685, 166070, 166071, 166072, 166073, 166074, 166075, 165686, 165687, 165688, 165689, 165690, 165691, 165692, 165693, 165694, 165695, 165696, 165697, 165698, 165699, 165700, 165701, 165702, 165703, 165704, 165705, 165742, 165743, 165744, 165745, 165746, 165747, 165748, 165749, 165750, 165751, 165752, 165753, 165754, 165755, 165756, 165757, 165758, 165759, 165760, 165761, 165762, 165763, 165764, 165765, 165766, 165767, 165768, 165769, 165770, 165771, 165772, 165773, 165774, 165775, 165776, 165777, 165802, 165803, 165804, 165805, 165806, 165807, 165808, 165809, 165810, 165811, 165812, 165813, 165814, 165815, 165816, 165817, 165818, 165819, 165820, 165821, 165822, 165823, 165824, 165825, 165884, 165885, 165886, 165887, 165888, 165889, 165890, 165891, 165892, 165893, 165873, 165874, 165875, 165876, 165877, 165878, 165879, 165880, 165881, 165882, 165883, 165957, 165958, 165959, 165960, 165933, 165934, 165935, 165936, 165937, 165938, 165939, 165940, 165861, 165862, 165863, 165864, 165865, 165866, 165867, 165868, 165869, 165870, 165871, 165872, 165979, 165980, 165981, 165982, 165983, 165984, 165985, 165986, 165987, 165894, 165895, 165997, 165998, 165999, 166000, 166001, 166002, 166003, 166004, 166005, 165945, 165946, 165947, 165948, 165949, 165950, 165951, 165952, 165953, 165954, 165955, 165956, 166015, 166016, 166017, 166018, 166019, 166020, 166021, 166022, 166023, 166032, 166033, 166034, 166035, 166036, 166037, 166038, 166039, 165961, 165962, 165963, 165964, 165965, 165966, 165967, 165968, 165969, 166049, 166050, 166051, 166052, 166053, 166054, 166055, 166056, 166057, 165941, 165942, 165943, 165944, 166067, 166068, 166069]","[3096, 3097, 3098, 3099, 3100, 3101]"
573,PKDB00298,Greenblatt2004,midazolam,closed,1,8,3,89,18,3,3,0,2004-09-20,"[166085, 166086, 166087, 166088, 166089, 166090, 166091, 166092, 166093, 166175, 166176, 166177, 166178, 166179, 166180, 166181, 166182, 166183, 166184, 166185, 166186, 166187, 166188, 166189, 166190, 166196, 166197, 166198, 166199, 166200, 166201, 166202, 166203, 166204, 166205, 166206, 166207, 166208, 166209, 166210, 166211, 166212, 166213, 166214, 166215, 166216, 166217, 166191, 166192, 166193, 166194, 166195, 166156, 166157, 166158, 166159, 166160, 166161, 166162, 166163, 166164, 166165, 166166, 166167, 166168, 166169, 166170, 166171, 166172, 166173, 166174, 166224, 166225, 166226, 166227, 166228, 166229, 166236, 166237, 166238, 166239, 166240, 166241, 166248, 166249, 166250, 166251, 166252, 166253]","[3102, 3103, 3104]"
576,PKDB00252,Kawaguchi-Suzuki2017,grapefruit juice; midazolam; 1-hydroxymidazolam,open,1,55,3,183,45,6,6,0,2017-08-16,"[167886, 167887, 167888, 167889, 167890, 167891, 167892, 167893, 167894, 167895, 167896, 167897, 167898, 167899, 167900, 167901, 167902, 167903, 167976, 167977, 167978, 167979, 167980, 167981, 167982, 167983, 167984, 167985, 167986, 167987, 167988, 167989, 167990, 167991, 167992, 167993, 167994, 167995, 167996, 167997, 167998, 167999, 168000, 168001, 168002, 168003, 168004, 168005, 168006, 168007, 168008, 168009, 168010, 168011, 168012, 168013, 168014, 168015, 168016, 168017, 168018, 168019, 168020, 168021, 168022, 168023, 168024, 168025, 168026, 168027, 168028, 168029, 168030, 168031, 168032, 168033, 168034, 168035, 168036, 168037, 168038, 168039, 168040, 168041, 168042, 168043, 168044, 168045, 168046, 168047, 168104, 168105, 168106, 168107, 168108, 168109, 168110, 168120, 168121, 168122, 168123, 168124, 168125, 168126, 168127, 168128, 168129, 168130, 168131, 168132, 168112, 168113, 168114, 168115, 168116, 168117, 168118, 168136, 168137, 168138, 168139, 168140, 168141, 168142, 168143, 168133, 168134, 168135, 168150, 168151, 168152, 168153, 168154, 168155, 168096, 168097, 168098, 168099, 168100, 168101, 168102, 168103, 168165, 168166, 168167, 168168, 168169, 168170, 168171, 168172, 168173, 168111, 168183, 168184, 168185, 168186, 168187, 168188, 168189, 168190, 168191, 168198, 168199, 168200, 168201, 168202, 168203, 168210, 168211, 168212, 168213, 168214, 168215, 168119, 168225, 168226, 168227, 168228, 168229, 168230, 168231, 168232, 168233]","[3107, 3108, 3109, 3110, 3111, 3112]"
578,PKDB00211,Kharasch2004,grapefruit juice; midazolam; rifampicin; alfentanil; troleandomycin,closed,1,0,10,556,162,18,18,0,2004-12-02,"[168655, 168656, 168657, 168658, 168659, 168660, 168661, 168662, 168663, 168664, 168665, 168666, 168667, 168668, 168669, 168670, 168671, 168672, 168673, 168674, 168675, 168676, 168677, 168678, 168679, 168680, 168681, 168682, 168683, 168684, 168685, 168686, 168687, 168688, 168689, 168690, 168691, 168692, 168693, 168694, 168695, 168696, 168697, 168698, 168699, 168700, 168701, 168702, 168703, 168704, 168705, 168706, 168707, 168708, 168709, 168710, 168711, 168712, 168713, 168714, 168715, 168716, 168717, 168718, 168719, 168720, 168721, 168722, 168723, 168724, 168725, 168726, 168727, 168728, 168729, 168730, 168731, 168732, 168733, 168734, 168735, 168736, 168737, 168738, 168739, 168740, 168741, 168742, 168743, 168744, 168745, 168746, 168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 169064, 169065, 169066, 169067, 169112, 169113, 169114, 169115, 169116, 169117, 169118, 169079, 169080, 169081, 169082, 169083, 169084, 169085, 169086, 169087, 169088, 169098, 169099, 169100, 169101, 169102, 169103, 169104, 169105, 169106, 169107, 169108, 169109, 169110, 169111, 169135, 169151, 169152, 169153, 169154, 169155, 169156, 169157, 169158, 169159, 169160, 169161, 169162, 169124, 169125, 169126, 169127, 169128, 169163, 169164, 169165, 169166, 169167, 169168, 169119, 169120, 169121, 169122, 169123, 169211, 169212, 169213, 169214, 169215, 169216, 169217, 169218, 169181, 169182, 169183, 169184, 169185, 169186, 169187, 169188, 169189, 169190, 169191, 169196, 169197, 169198, 169199, 169200, 169201, 169202, 169203, 169204, 169205, 169206, 169207, 169208, 169209, 169224, 169225, 169226, 169227, 169228, 169229, 169219, 169220, 169221, 169222, 169223, 169240, 169241, 169242, 169243, 169244, 169245, 169246, 169247, 169248, 169249, 169293, 169294, 169295, 169296, 169297, 169298, 169299, 169300, 169301, 169302, 169303, 169311, 169312, 169313, 169314, 169315, 169316, 169278, 169279, 169280, 169281, 169282, 169283, 169284, 169285, 169286, 169287, 169288, 169289, 169317, 169318, 169319, 169320, 169321, 169322, 169323, 169324, 169049, 169050, 169051, 169052, 169053, 169054, 169055, 169056, 169057, 169058, 169059, 169060, 169061, 169062, 169063, 169334, 169335, 169336, 169337, 169338, 169339, 169340, 169341, 169342, 169068, 169069, 169070, 169071, 169072, 169073, 169074, 169075, 169076, 169077, 169078, 169352, 169353, 169354, 169355, 169356, 169357, 169358, 169359, 169360, 169136, 169137, 169138, 169139, 169140, 169141, 169142, 169143, 169144, 169145, 169146, 169147, 169148, 169149, 169150, 169370, 169371, 169372, 169373, 169374, 169375, 169376, 169377, 169378, 169261, 169262, 169263, 169264, 169265, 169266, 169267, 169268, 169269, 169270, 169271, 169272, 169273, 169274, 169275, 169276, 169277, 169388, 169389, 169390, 169391, 169392, 169393, 169394, 169395, 169396, 169406, 169407, 169408, 169409, 169410, 169411, 169412, 169413, 169414, 169129, 169130, 169131, 169132, 169133, 169134, 169424, 169425, 169426, 169427, 169428, 169429, 169430, 169431, 169432, 169169, 169170, 169171, 169172, 169173, 169174, 169175, 169176, 169177, 169178, 169179, 169180, 169442, 169443, 169444, 169445, 169446, 169447, 169448, 169449, 169450, 169230, 169231, 169232, 169233, 169234, 169235, 169236, 169237, 169238, 169239, 169460, 169461, 169462, 169463, 169464, 169465, 169466, 169467, 169468, 169304, 169305, 169306, 169307, 169308, 169309, 169310, 169478, 169479, 169480, 169481, 169482, 169483, 169484, 169485, 169486, 169496, 169497, 169498, 169499, 169500, 169501, 169502, 169503, 169504, 169514, 169515, 169516, 169517, 169518, 169519, 169520, 169521, 169522, 169089, 169090, 169091, 169092, 169093, 169094, 169095, 169096, 169097, 169532, 169533, 169534, 169535, 169536, 169537, 169538, 169539, 169540, 169550, 169551, 169552, 169553, 169554, 169555, 169556, 169557, 169558, 169250, 169251, 169252, 169253, 169254, 169255, 169256, 169257, 169258, 169259, 169260, 169568, 169569, 169570, 169571, 169572, 169573, 169574, 169575, 169576, 169192, 169193, 169194, 169195, 169586, 169587, 169588, 169589, 169590, 169591, 169592, 169593, 169594, 169604, 169605, 169606, 169607, 169608, 169609, 169610, 169611, 169612, 169290, 169291, 169292, 169622, 169623, 169624, 169625, 169626, 169627, 169628, 169629, 169630, 169210, 169640, 169641, 169642, 169643, 169644, 169645, 169646, 169647, 169648]","[3114, 3115, 3116, 3117, 3118, 3119, 3120, 3121, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130, 3131]"
580,PKDB00207,Kupferschmidt1995,grapefruit juice; midazolam; 1-hydroxymidazolam,closed,1,0,4,196,60,8,8,0,1995-09-07,"[169685, 169686, 169687, 169688, 169689, 169690, 169691, 169692, 169693, 169694, 169695, 169696, 169697, 169698, 169699, 169700, 169701, 169702, 169703, 169704, 169705, 169706, 169707, 169708, 169709, 169710, 169711, 169712, 169713, 169714, 169715, 169716, 169717, 169718, 169719, 169720, 169821, 169822, 169823, 169824, 169825, 169826, 169827, 169828, 169829, 169830, 169831, 169847, 169848, 169849, 169850, 169851, 169852, 169853, 169854, 169855, 169856, 169857, 169858, 169834, 169835, 169836, 169837, 169838, 169839, 169840, 169841, 169842, 169843, 169844, 169871, 169884, 169885, 169886, 169887, 169888, 169889, 169890, 169891, 169892, 169893, 169894, 169895, 169897, 169898, 169899, 169900, 169901, 169902, 169903, 169904, 169905, 169906, 169907, 169908, 169870, 169909, 169910, 169911, 169912, 169913, 169914, 169915, 169916, 169917, 169918, 169919, 169920, 169872, 169873, 169874, 169875, 169876, 169877, 169878, 169879, 169880, 169881, 169882, 169883, 169927, 169928, 169929, 169930, 169931, 169932, 169896, 169939, 169940, 169941, 169942, 169943, 169944, 169951, 169952, 169953, 169954, 169955, 169956, 169859, 169860, 169861, 169862, 169863, 169864, 169865, 169866, 169867, 169868, 169869, 169966, 169967, 169968, 169969, 169970, 169971, 169972, 169973, 169974, 169832, 169833, 169984, 169985, 169986, 169987, 169988, 169989, 169990, 169991, 169992, 170002, 170003, 170004, 170005, 170006, 170007, 170008, 170009, 170010, 170017, 170018, 170019, 170020, 170021, 170022, 169845, 169846, 170032, 170033, 170034, 170035, 170036, 170037, 170038, 170039, 170040]","[3132, 3133, 3134, 3135, 3136, 3137, 3138, 3139]"
